HR,HRV,LF,HF,LF:HF,AC,Stage,id
62.46933049,19.4422221,8.838911508,9.480145144,0.932360357,2,5,2
60.94583422,28.31273761,8.839671344,9.480655391,0.932390323,0,5,2
59.24936693,39.61200716,8.838872335,9.479507739,0.932418916,0,5,2
58.07833743,48.91347235,8.840996837,9.481118068,0.932484626,0,5,2
57.56831164,53.25280379,8.841251307,9.479555335,0.932665193,0,5,2
57.56256668,52.29483722,8.843289742,9.479682922,0.932867672,0,5,2
57.94240191,46.67172592,8.84213074,9.477341577,0.932975842,0,5,2
58.21410799,38.18703969,8.843198838,9.477560975,0.933066942,0,2,2
58.33817735,28.42582941,8.844438699,9.478857392,0.93307013,0,2,2
58.51116327,18.10386699,8.845697965,9.481571225,0.932935877,0,2,2
58.74008308,9.718253158,8.844162874,9.481490428,0.932781923,0,2,2
59.02795723,8.856886837,8.846816501,9.485336466,0.932683467,0,2,2
59.09952609,10.09675415,8.846285271,9.485780523,0.932583803,0,2,2
59.17872587,9.772410143,8.845671006,9.485439124,0.932552609,0,2,2
59.15009118,7.975657409,8.845295905,9.48462689,0.932592922,0,2,2
59.12338958,6.616477747,8.845145516,9.484638227,0.932575951,0,2,2
58.94321906,5.348935512,8.844858104,9.48457279,0.932552082,0,2,2
58.78440904,3.993049517,8.844716937,9.484756931,0.932519094,0,2,2
58.68915122,3.333333333,8.844638272,9.484369166,0.932548925,0,2,2
58.36812641,4.612784168,8.844772258,9.484346815,0.93256525,0,2,2
58.33026904,5.7106139,8.84491767,9.484535158,0.932562063,0,2,2
58.20742835,6.559556218,8.845134914,9.484463506,0.932592013,0,1,2
58.30046412,6.422616289,8.845421931,9.484359992,0.932632454,0,1,2
58.50622866,5.637178175,8.845536322,9.484259511,0.932654396,0,1,2
58.87606253,4.755114206,8.845650371,9.483944298,0.932697419,0,1,2
59.25984847,5.85472269,8.845520178,9.483272911,0.932749723,0,1,2
59.71073725,8.771798245,8.845283804,9.483205062,0.932731471,0,1,2
59.99050543,11.37980668,8.84492809,9.482671714,0.93274642,0,1,2
60.35574109,13.68393218,8.844543664,9.48290509,0.932682926,0,1,2
60.78509063,15.73566367,8.84401743,9.482545487,0.932662801,0,1,2
61.00116164,16.46545205,8.84333772,9.48183006,0.932661487,0,1,2
60.92976954,15.36590743,8.845042607,9.483965267,0.932631274,0,1,2
60.76172552,12.94217911,8.844336421,9.483966395,0.932556702,0,1,2
60.84690009,10.21028893,8.844025544,9.483408918,0.932578741,0,1,2
60.83006486,7.474029108,8.843764496,9.482787757,0.9326123,0,1,2
60.60525632,5.387743292,8.843291788,9.482499854,0.932590764,0,1,2
60.35473003,3.982601048,8.842942966,9.482365509,0.932567191,0,1,2
60.21948402,4.400126261,8.843158955,9.481863984,0.932639296,0,1,2
59.94120605,5.876034188,8.843542521,9.481693689,0.9326965,0,1,2
59.74255374,7.007932014,8.843755329,9.482627482,0.932627096,0,1,2
59.64531355,7.529571332,8.843976771,9.48291939,0.932621739,0,1,2
59.6762526,7.758507875,8.84437716,9.482432958,0.932711805,0,1,2
59.61351087,7.316268023,8.844676409,9.482545779,0.932732266,0,1,2
59.59949494,5.979130372,8.842320434,9.480697235,0.932665627,0,1,2
59.44868675,5.019406782,8.84261278,9.480780175,0.932688304,0,1,2
59.48639446,4.031128874,8.842986738,9.481389922,0.932667764,0,1,2
59.44804578,2.818589088,8.843190535,9.481655438,0.93266314,0,1,2
59.30640859,2.34520788,8.843319735,9.482104675,0.932632579,0,1,2
59.37124896,2.236067977,8.843323443,9.482293026,0.932614444,0,1,2
59.36920933,2.108185107,8.843498852,9.482094578,0.932652462,0,1,2
59.43334291,1.732050808,8.843557242,9.481942739,0.932673555,0,1,2
59.39555266,1.452966315,8.843518484,9.482325628,0.932631807,0,1,2
59.68381926,1.732050808,8.843582286,9.482254444,0.932645537,0,1,2
59.83721531,2.905932629,8.843518599,9.481441247,0.93271881,0,1,2
59.96947916,4,8.843350486,9.481648029,0.932680739,0,1,2
59.87029566,4.304390523,8.843022069,9.481692237,0.932641753,0,1,2
59.8042662,4.092676386,8.843097744,9.482106763,0.932608962,0,1,2
59.74201048,3.774917218,8.843161248,9.481957345,0.932630355,0,1,2
59.63600037,3.320809808,8.843140194,9.482505635,0.932574209,0,1,2
59.92430282,3.041381265,8.84288785,9.482205559,0.932577109,0,1,2
